Item,Date,Price,Percentage Change 
Butter,01/12/2015,2.990917,0.704384333
Car Repair,01/12/2015,106.1294,0.540566516
Dog Food,01/12/2015,0.6269879,0.012328787
Eggs,01/12/2015,2.354361,-0.062267426
Kitchen Roll,01/12/2015,1.627612,-1.860087048
Mascara,01/12/2015,8.052872,0.003017557
Soap,01/12/2015,1.401942,3.612060984
Tampons,01/12/2015,2.017889,2.880832395
Toothpaste,01/12/2015,1.726225,1.474083622
Butter,01/01/2016,2.821102,5.677690153
Car Repair,01/01/2016,107.0923,0.899130937
Dog Food,01/01/2016,0.6283936,0.223697377
Eggs,01/01/2016,2.340075,-0.610493253
Kitchen Roll,01/01/2016,1.62539,-0.136705652
Mascara,01/01/2016,8.118684,0.810623988
Soap,01/01/2016,1.320252,-6.187455122
Tampons,01/01/2016,2.023551,0.279805154
Toothpaste,01/01/2016,1.766282,2.267871155
Butter,01/02/2016,2.910388,-3.16493342
Car Repair,01/02/2016,107.1881,0.089375593
Dog Food,01/02/2016,0.6155918,-2.079592353
Eggs,01/02/2016,2.326593,-0.579473935
Kitchen Roll,01/02/2016,1.655926,1.844043756
Mascara,01/02/2016,8.305847,2.253388486
Soap,01/02/2016,1.27169,-3.818697953
Tampons,01/02/2016,2.013361,-0.506118873
Toothpaste,01/02/2016,1.69413,-4.258941167
Butter,01/03/2016,2.795823,3.936416725
Car Repair,01/03/2016,107.775,0.544560427
Dog Food,01/03/2016,0.6203404,0.765482951
Eggs,01/03/2016,2.134348,-9.007200325
Kitchen Roll,01/03/2016,1.690072,2.020387297
Mascara,01/03/2016,8.271276,-0.417964532
Soap,01/03/2016,1.368894,7.100915045
Tampons,01/03/2016,1.959921,-2.726640513
Toothpaste,01/03/2016,1.713986,1.158469206
Butter,01/04/2016,2.868833,-2.611395643
Car Repair,01/04/2016,107.6994,-0.070195377
Dog Food,01/04/2016,0.6208979,0.08978932
Eggs,01/04/2016,2.140145,0.270869497
Kitchen Roll,01/04/2016,1.590588,-6.254542345
Mascara,01/04/2016,8.157876,-1.390067709
Soap,01/04/2016,1.385281,1.182936892
Tampons,01/04/2016,1.963518,0.183191598
Toothpaste,01/04/2016,1.844966,7.099317819
Butter,01/05/2016,2.865504,0.116040216
Car Repair,01/05/2016,107.9977,0.276209586
Dog Food,01/05/2016,0.63188,1.738004051
Eggs,01/05/2016,2.132174,-0.373843786
Kitchen Roll,01/05/2016,1.613015,1.390377647
Mascara,01/05/2016,8.327449,2.036313882
Soap,01/05/2016,1.402381,1.219354797
Tampons,01/05/2016,1.986587,1.161237842
Toothpaste,01/05/2016,1.617483,-14.0640118
Butter,01/06/2016,2.761949,3.613849431
Car Repair,01/06/2016,108.4385,0.406497692
Dog Food,01/06/2016,0.6268163,-0.80784434
Eggs,01/06/2016,2.048284,-4.095623458
Kitchen Roll,01/06/2016,1.614733,0.106395299
Mascara,01/06/2016,8.263434,-0.774677937
Soap,01/06/2016,1.295796,-8.225445981
Tampons,01/06/2016,1.974388,-0.617862345
Toothpaste,01/06/2016,1.668451,3.054809521
Butter,01/07/2016,2.786176,-0.877170433
Car Repair,01/07/2016,108.5089,0.064879471
Dog Food,01/07/2016,0.6283193,0.239209587
Eggs,01/07/2016,2.035303,-0.637792014
Kitchen Roll,01/07/2016,1.634234,1.193280766
Mascara,01/07/2016,8.448376,2.18908344
Soap,01/07/2016,1.365132,5.079069277
Tampons,01/07/2016,2.025982,2.5466169
Toothpaste,01/07/2016,1.79304,6.948478562
Butter,01/08/2016,2.742255,1.576390006
Car Repair,01/08/2016,107.8534,-0.607769435
Dog Food,01/08/2016,0.6058996,-3.700233504
Eggs,01/08/2016,2.064776,1.427418761
Kitchen Roll,01/08/2016,1.585435,-3.077956523
Mascara,01/08/2016,8.246497,-2.448057642
Soap,01/08/2016,1.276062,-6.980068367
Tampons,01/08/2016,2.008356,-0.877633248
Toothpaste,01/08/2016,1.746,-2.694158076
Butter,01/09/2016,2.706667,1.297764066
Car Repair,01/09/2016,107.8838,0.028178466
Dog Food,01/09/2016,0.6154853,1.557421436
Eggs,01/09/2016,2.08036,0.749101117
Kitchen Roll,01/09/2016,1.586454,0.064231298
Mascara,01/09/2016,8.236332,-0.123416589
Soap,01/09/2016,1.447932,11.87003257
Tampons,01/09/2016,2.014545,0.307215773
Toothpaste,01/09/2016,1.62036,-7.753832482
Butter,01/10/2016,2.703554,0.115012301
Car Repair,01/10/2016,107.381,-0.46823926
Dog Food,01/10/2016,0.6281624,2.018124612
Eggs,01/10/2016,2.013443,-3.323511021
Kitchen Roll,01/10/2016,1.593379,0.434610975
Mascara,01/10/2016,8.16398,-0.88623441
Soap,01/10/2016,1.366709,-5.942962255
Tampons,01/10/2016,1.958943,-2.838367426
Toothpaste,01/10/2016,1.802397,10.09971721
Butter,01/11/2016,2.782857,-2.933287073
Car Repair,01/11/2016,107.2977,-0.077634469
Dog Food,01/11/2016,0.6200851,-1.302611529
Eggs,01/11/2016,2.077068,3.063212182
Kitchen Roll,01/11/2016,1.553788,-2.548031006
Mascara,01/11/2016,8.24147,0.940244883
Soap,01/11/2016,1.371441,0.34503854
Tampons,01/11/2016,1.984096,1.267730997
Toothpaste,01/11/2016,1.695973,-6.275099898
Butter,01/12/2016,2.838861,-2.012464169
Car Repair,01/12/2016,107.8054,0.470941159
Dog Food,01/12/2016,0.6075833,-2.057627325
Eggs,01/12/2016,2.088667,0.555330266
Kitchen Roll,01/12/2016,1.522714,-2.040698385
Mascara,01/12/2016,8.22801,-0.16358755
Soap,01/12/2016,1.363557,-0.578193651
Tampons,01/12/2016,1.994213,0.507317924
Toothpaste,01/12/2016,1.739803,2.519250743
Butter,01/01/2017,2.916219,-2.724966104
Car Repair,01/01/2017,109.1338,1.217221429
Dog Food,01/01/2017,0.6245041,2.709477808
Eggs,01/01/2017,2.092446,0.180602032
Kitchen Roll,01/01/2017,1.629929,6.577893884
Mascara,01/01/2017,8.232961,0.060136323
Soap,01/01/2017,1.346822,-1.242554695
Tampons,01/01/2017,1.971417,-1.156325628
Toothpaste,01/01/2017,1.707067,-1.91767517
Butter,01/02/2017,2.83105,2.920528259
Car Repair,01/02/2017,108.4646,-0.616975492
Dog Food,01/02/2017,0.6500966,3.936722635
Eggs,01/02/2017,2.109111,0.790143335
Kitchen Roll,01/02/2017,1.598889,-1.941348024
Mascara,01/02/2017,8.52634,3.440855044
Soap,01/02/2017,1.35625,0.695152074
Tampons,01/02/2017,2.014915,2.158800743
Toothpaste,01/02/2017,1.683556,-1.396508343
Butter,01/03/2017,2.821297,0.344501157
Car Repair,01/03/2017,109.2635,0.731168231
Dog Food,01/03/2017,0.6493304,-0.11799848
Eggs,01/03/2017,2.104519,-0.218197127
Kitchen Roll,01/03/2017,1.5975,-0.086948357
Mascara,01/03/2017,8.493631,-0.385100318
Soap,01/03/2017,1.252949,-8.244629271
Tampons,01/03/2017,2.01755,0.13060395
Toothpaste,01/03/2017,1.638355,-2.758925874
Butter,01/04/2017,2.762645,2.078902009
Car Repair,01/04/2017,109.3403,0.070239427
Dog Food,01/04/2017,0.6535135,0.640093892
Eggs,01/04/2017,2.11203,0.355629418
Kitchen Roll,01/04/2017,1.640584,2.626138009
Mascara,01/04/2017,8.625366,1.527297508
Soap,01/04/2017,1.319068,5.012554319
Tampons,01/04/2017,2.102941,4.06055139
Toothpaste,01/04/2017,1.626104,-0.753395847
Butter,01/05/2017,2.782025,-0.701501641
Car Repair,01/05/2017,111.0948,1.579281839
Dog Food,01/05/2017,0.643149,-1.611523924
Eggs,01/05/2017,2.102344,-0.46072384
Kitchen Roll,01/05/2017,1.531527,-7.120801657
Mascara,01/05/2017,8.560769,-0.754570063
Soap,01/05/2017,1.243,-6.119710378
Tampons,01/05/2017,2.032964,-3.442117027
Toothpaste,01/05/2017,1.606026,-1.25016656
Butter,01/06/2017,2.843652,-2.215184982
Car Repair,01/06/2017,111.4435,0.312893978
Dog Food,01/06/2017,0.6317695,-1.801210726
